,Rank,Name,county_name,city_state,state,2020_Pop,2010_Census,Change,Density_km,Area_km,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Unemployment,pop_change,pop_change_per_year,est_pop_2011,est_pop_2012,est_pop_2013,est_pop_2014,est_pop_2015,est_pop_2016,est_pop_2017,est_pop_2018,est_pop_2019,City,State_Code,2018 total police force,total_employees,2018 police officers,2018 police civilians
33,34,Fresno,Fresno,Fresno_California,California,538195,497721,0.0813,1811,297,52.4,30.2,4.7,0.4,9.9,0.1,22234,25.4,10.4,40474,4047.4,501768.4,505815.8,509863.2,513910.6,517958,522005.4,526052.8,530100.2,534147.6,Fresno,CA,531818,1063,811,252
34,35,Mesa,Maricopa,Mesa_Arizona,Arizona,527666,440995,0.1965,1475,358,30.6,56.3,5.1,1.5,3.9,0.2,30186,15.7,6,86671,8667.1,449662.1,458329.2,466996.3,475663.4,484330.5,492997.6,501664.7,510331.8,518998.9,Mesa,AZ,504873,1202,779,423
35,36,Atlanta,Fulton,Atlanta_Georgia,Georgia,523738,429193,0.2203,1490,352,7.4,39.9,43.6,0.2,6.7,0,41041,16,7.7,94545,9454.5,438647.5,448102,457556.5,467011,476465.5,485920,495374.5,504829,514283.5,Atlanta,GA,496106,1987,1535,452
36,37,Sacramento,Sacramento,Sacramento_California,California,521769,467302,0.1166,2061,253,22.8,45.7,9.5,0.4,15.1,1.1,29693,16.7,8.8,54467,5446.7,472748.7,478195.4,483642.1,489088.8,494535.5,499982.2,505428.9,510875.6,516322.3,Sacramento,CA,507037,948,651,297
37,38,Kansas City,Jackson,Kansas City_Missouri,Missouri,505198,460737,0.0965,619,816,8.8,62.5,23.4,0.4,1.8,0.3,28965,15.9,5.7,44461,4446.1,465183.1,469629.2,474075.3,478521.4,482967.5,487413.6,491859.7,496305.8,500751.9,Kansas City,MO,493115,1819,1299,520
38,39,Miami,Miami-Dade,Miami_Florida,Florida,486388,400841,0.2134,5217,93,67.5,13.7,16.3,0.1,1.5,0,25481,19,7.4,85547,8554.7,409395.7,417950.4,426505.1,435059.8,443614.5,452169.2,460723.9,469278.6,477833.3,Miami,FL,473047,1741,1309,432
39,40,Colorado Springs,El Paso,Colorado Springs_Colorado,Colorado,485946,420544,0.1555,962,505,16.5,69.9,5.8,0.4,2.7,0.4,31217,11.1,6.8,65402,6540.2,427084.2,433624.4,440164.6,446704.8,453245,459785.2,466325.4,472865.6,479405.8,Colorado Springs,CO,471124,995,702,293
40,41,Raleigh,Wake,Raleigh_North Carolina,North Carolina,481958,406355,0.1861,1276,378,10,60.6,20,0.3,6.4,0,37315,10.1,4.9,75603,7560.3,413915.3,421475.6,429035.9,436596.2,444156.5,451716.8,459277.1,466837.4,474397.7,Raleigh,NC,473765,855,732,123
41,42,Omaha,Douglas,Omaha_Nebraska,Nebraska,470702,450887,0.0439,1289,365,12.2,70.2,10.9,0.3,3.4,0,32023,13.5,4.4,19815,1981.5,452868.5,454850,456831.5,458813,460794.5,462776,464757.5,466739,468720.5,Omaha,NE,469351,1016,879,137
42,43,Long Beach,Los Angeles,Long Beach_California,California,463218,462440,0.0017,3528,131,48.4,26.5,7.9,0.2,14.3,0.2,30798,17,7.8,778,77.8,462517.8,462595.6,462673.4,462751.2,462829,462906.8,462984.6,463062.4,463140.2,Long Beach,CA,470445,1164,824,340
43,44,Virginia Beach,Virginia Beach,Virginia Beach_Virginia,Virginia,447841,438855,0.0205,707,634,7.8,62.5,18.4,0.2,6.5,0.1,34607,8,5.3,8986,898.6,439753.6,440652.2,441550.8,442449.4,443348,444246.6,445145.2,446043.8,446942.4,,,,,,
44,45,Minneapolis,Hennepin,Minneapolis_Minnesota,Minnesota,437069,383067,0.141,3125,140,6.9,69.5,12.5,0.5,7,0,41794,11.5,4.6,54002,5400.2,388467.2,393867.4,399267.6,404667.8,410068,415468.2,420868.4,426268.6,431668.8,Minneapolis,MN,428261,1037,849,188
45,46,Oakland,Alameda,Oakland_California,California,435224,391449,0.1118,3006,145,22.5,32.2,10.7,0.3,28.7,0.8,41363,11.3,6,43775,4377.5,395826.5,400204,404581.5,408959,413336.5,417714,422091.5,426469,430846.5,Oakland,CA,430230,1010,731,279
46,47,Tampa,Hillsborough,Tampa_Florida,Florida,413704,337062,0.2274,1401,295,27.4,50.3,15.5,0.2,3.9,0.1,29806,15.7,6.8,76642,7664.2,344726.2,352390.4,360054.6,367718.8,375383,383047.2,390711.4,398375.6,406039.8,Tampa,FL,392945,1206,946,260
47,48,Arlington,Tarrant,Arlington_Texas,Texas,402762,366136,0.1,1624,248,28.2,48.3,15.6,0.3,5.1,0.2,30857,13.5,5.4,36626,3662.6,369798.6,373461.2,377123.8,380786.4,384449,388111.6,391774.2,395436.8,399099.4,Arlington,TX,400920,871,673,198
48,49,Tulsa,Tulsa,Tulsa_Oklahoma,Oklahoma,396543,392421,0.0105,775,511,12.1,63,9.8,4.4,3,0.1,29797,15.5,5.9,4122,412.2,392833.2,393245.4,393657.6,394069.8,394482,394894.2,395306.4,395718.6,396130.8,Tulsa,OK,403147,987,807,180
49,50,Bakersfield,Kern,Bakersfield_California,California,390233,349408,0.1168,1006,388,52.2,35.4,5.1,0.5,4.5,0.1,21716,22.6,10.9,40825,4082.5,353490.5,357573,361655.5,365738,369820.5,373903,377985.5,382068,386150.5,Bakersfield,CA,385609,537,398,139
50,51,New Orleans,Orleans,New Orleans_Louisiana,Louisiana,390128,347770,0.1218,889,439,5.5,30.6,59.1,0.1,2.9,0,29275,25.4,8.7,42358,4235.8,352005.8,356241.6,360477.4,364713.2,368949,373184.8,377420.6,381656.4,385892.2,New Orleans,LA,396374,1457,1209,248
51,52,Wichita,Sedgwick,Wichita_Kansas,Kansas,388771,382726,0.0158,929,419,14.1,68.6,8.8,0.6,4.3,0,27583,14.7,5.6,6045,604.5,383330.5,383935,384539.5,385144,385748.5,386353,386957.5,387562,388166.5,Wichita,KS,391726,824,648,176
52,53,Aurora,Adams,Aurora_Colorado,Colorado,382742,326073,0.1738,958,400,39.3,51.1,3,0.5,3.8,0.1,27487,12.2,5.1,56669,5666.9,331739.9,337406.8,343073.7,348740.6,354407.5,360074.4,365741.3,371408.2,377075.1,Aurora,CO,372824,857,723,134
53,54,Cleveland,Cuyahoga,Cleveland_Ohio,Ohio,379233,395890,-0.0421,1885,201,5.6,59.7,29.3,0.1,2.8,0,30441,18.3,8.9,-16657,-1665.7,394224.3,392558.6,390892.9,389227.2,387561.5,385895.8,384230.1,382564.4,380898.7,Cleveland,OH,384666,1675,1462,213
54,55,Anaheim,Orange,Anaheim_California,California,352911,337106,0.0469,2708,130,34.2,41.4,1.6,0.2,19.5,0.3,37603,12.1,5.8,15805,1580.5,338686.5,340267,341847.5,343428,345008.5,346589,348169.5,349750,351330.5,Anaheim,CA,354743,597,419,178
55,56,Honolulu,Honolulu,Honolulu_Hawaii,Hawaii,342933,339143,0.0112,2187,157,9.6,18.7,2.2,0.1,41.8,8.7,33776,9.1,4.5,3790,379,339522,339901,340280,340659,341038,341417,341796,342175,342554,Honolulu,HI,982019,2434,1942,492
56,57,Riverside,Riverside,Riverside_California,California,336285,305568,0.1005,1598,210,48,36.6,6,0.4,6.1,0.3,25700,15.6,9.9,30717,3071.7,308639.7,311711.4,314783.1,317854.8,320926.5,323998.2,327069.9,330141.6,333213.3,Riverside,CA,331022,522,370,152
57,58,San Juan,San Juan,San Juan_Puerto Rico,Puerto Rico,331165,381931,-0.1329,3234,102,98.2,1.2,0.2,0,0.2,0,18160,42,15,-50766,-5076.6,376854.4,371777.8,366701.2,361624.6,356548,351471.4,346394.8,341318.2,336241.6,,,,,,
58,59,Santa Ana,Orange,Santa Ana_California,California,330389,325340,0.0155,4662,71,34.2,41.4,1.6,0.2,19.5,0.3,37603,12.1,5.8,5049,504.9,325844.9,326349.8,326854.7,327359.6,327864.5,328369.4,328874.3,329379.2,329884.1,Santa Ana,CA,335403,533,313,220
59,60,Henderson,Clark,Henderson_Nevada,Nevada,330084,257532,0.2817,1201,275,30.7,44.1,10.8,0.4,9.5,0.7,27719,14.6,8.3,72552,7255.2,264787.2,272042.4,279297.6,286552.8,293808,301063.2,308318.4,315573.6,322828.8,Henderson,NV,309586,664,380,284
60,61,Lexington,Fayette,Lexington_Kentucky,Kentucky,328690,296847,0.1073,447,735,7,71.8,14.3,0.2,3.6,0,31653,18.6,6.1,31843,3184.3,300031.3,303215.6,306399.9,309584.2,312768.5,315952.8,319137.1,322321.4,325505.7,Lexington,KY,325579,701,611,90
61,62,Corpus Christi,Nueces,Corpus Christi_Texas,Texas,325406,305281,0.0659,787,414,63,30.3,3.6,0.2,1.9,0.1,26780,16.7,5.9,20125,2012.5,307293.5,309306,311318.5,313331,315343.5,317356,319368.5,321381,323393.5,Corpus Christi,TX,328614,652,443,209
62,63,Stockton,San Joaquin,Stockton_California,California,316996,292446,0.0839,1969,161,40.8,33.2,6.7,0.2,14.8,0.5,24694,17.1,10.1,24550,2455,294901,297356,299811,302266,304721,307176,309631,312086,314541,Stockton,CA,313158,671,469,202
63,64,St. Paul,Ramsey,St. Paul_Minnesota,Minnesota,311895,285465,0.0926,2317,135,7.4,63.1,11.2,0.5,14,0,32544,15,5.5,26430,2643,288108,290751,293394,296037,298680,301323,303966,306609,309252,St. Paul,MN,309756,768,631,137
64,65,Cincinnati,Hamilton,Cincinnati_Ohio,Ohio,306487,296837,0.0325,1520,202,3,65.9,25.6,0.1,2.4,0.1,32638,17,7,9650,965,297802,298767,299732,300697,301662,302627,303592,304557,305522,Cincinnati,OH,301952,1167,1032,135
65,66,Irvine,Orange,Irvine_California,California,303956,213392,0.4244,1788,170,34.2,41.4,1.6,0.2,19.5,0.3,37603,12.1,5.8,90564,9056.4,222448.4,231504.8,240561.2,249617.6,258674,267730.4,276786.8,285843.2,294899.6,Irvine,CA,288052,310,216,94
66,67,Greensboro,Guilford,Greensboro_North Carolina,North Carolina,299946,269587,0.1126,897,334,7.7,51.4,33.3,0.4,4.8,0,28582,16.7,6.6,30359,3035.9,272622.9,275658.8,278694.7,281730.6,284766.5,287802.4,290838.3,293874.2,296910.1,Greensboro,NC,293298,781,630,151
67,68,Pittsburgh,Allegheny,Pittsburgh_Pennsylvania,Pennsylvania,294860,305410,-0.0345,2056,143,2,79.1,12.7,0.1,3.5,0,35280,12.5,5.9,-10550,-1055,304355,303300,302245,301190,300135,299080,298025,296970,295915,Pittsburgh,PA,302544,999,950,49
68,69,Lincoln,Lancaster,Lincoln_Nebraska,Nebraska,293905,259261,0.1336,1179,249,6.7,82.1,3.9,0.4,4.2,0.1,29901,14,3.9,34644,3464.4,262725.4,266189.8,269654.2,273118.6,276583,280047.4,283511.8,286976.2,290440.6,Lincoln,NE,288589,479,344,135
69,70,St. Louis,St. Louis,St. Louis_Missouri,Missouri,293792,319318,-0.0799,1837,160,2.8,66.9,23.7,0.2,4,0,38081,9.8,5.9,-25526,-2552.6,316765.4,314212.8,311660.2,309107.6,306555,304002.4,301449.8,298897.2,296344.6,St. Louis,MO,306875,1608,1189,419
70,71,Orlando,Orange,Orlando_Florida,Florida,291739,239308,0.2191,1019,286,30.2,41.6,19.9,0.1,5.1,0,27394,16.7,6.8,52431,5243.1,244551.1,249794.2,255037.3,260280.4,265523.5,270766.6,276009.7,281252.8,286495.9,Orlando,FL,286679,944,729,215
71,72,Plano,Collin,Plano_Texas,Texas,288539,261222,0.1046,1554,186,15.1,59.1,9.2,0.3,13.5,0.1,41609,6.9,4.3,27317,2731.7,263953.7,266685.4,269417.1,272148.8,274880.5,277612.2,280343.9,283075.6,285807.3,Plano,TX,289897,585,408,177
72,73,Anchorage,Anchorage,Anchorage_Alaska,Alaska,285634,293310,-0.0262,65,4421,8.9,59.2,5.2,6.8,9.2,2.3,38977,8.1,5.8,-7676,-767.6,292542.4,291774.8,291007.2,290239.6,289472,288704.4,287936.8,287169.2,286401.6,Anchorage,AK,291992,574,427,147
73,74,Newark,Essex,Newark_New Jersey,New Jersey,282862,277158,0.0206,4524,63,22.4,31.1,38.8,0.1,5.1,0,35133,16.7,10.4,5704,570.4,277728.4,278298.8,278869.2,279439.6,280010,280580.4,281150.8,281721.2,282291.6,Newark,NJ,282258,1490,1155,335
74,75,Durham,Durham,Durham_North Carolina,North Carolina,282737,230710,0.2255,973,291,13.5,42.1,36.9,0.2,4.7,0,33151,16.4,5.8,52027,5202.7,235912.7,241115.4,246318.1,251520.8,256723.5,261926.2,267128.9,272331.6,277534.3,Durham,NC,273759,641,530,111
75,76,Chula Vista,San Diego,Chula Vista_California,California,277289,244656,0.1334,2157,129,33.4,46.2,4.7,0.4,11.5,0.4,34350,13.3,7.1,32633,3263.3,247919.3,251182.6,254445.9,257709.2,260972.5,264235.8,267499.1,270762.4,274025.7,Chula Vista,CA,274370,305,221,84
76,77,St. Petersburg,Pinellas,St. Petersburg_Florida,Florida,271842,245226,0.1085,1697,160,9.2,74.7,10,0.2,3.3,0.1,32120,13.7,6.4,26616,2661.6,247887.6,250549.2,253210.8,255872.4,258534,261195.6,263857.2,266518.8,269180.4,St. Petersburg,FL,265942,781,549,232
77,78,Jersey City,Hudson,Jersey City_New Jersey,New Jersey,271099,248363,0.0915,7100,38,43.2,28.8,10.8,0.1,15,0.1,35910,17.1,7.1,22736,2273.6,250636.6,252910.2,255183.8,257457.4,259731,262004.6,264278.2,266551.8,268825.4,Jersey City,NJ,270175,955,886,69
78,79,Fort Wayne,Allen,Fort Wayne_Indiana,Indiana,270989,254162,0.0662,946,287,7.2,74.6,11.3,0.2,3.5,0,26932,14.7,6.3,16827,1682.7,255844.7,257527.4,259210.1,260892.8,262575.5,264258.2,265940.9,267623.6,269306.3,Fort Wayne,IN,267634,531,470,61
79,80,Toledo,Lucas,Toledo_Ohio,Ohio,270651,287030,-0.0571,1298,208,6.8,69.4,18.7,0.2,1.7,0,27111,19.8,8.5,-16379,-1637.9,285392.1,283754.2,282116.3,280478.4,278840.5,277202.6,275564.7,273926.8,272288.9,Toledo,OH,275023,686,590,96
80,81,Chandler,Maricopa,Chandler_Arizona,Arizona,268675,236479,0.1361,1593,169,30.6,56.3,5.1,1.5,3.9,0.2,30186,15.7,6,32196,3219.6,239698.6,242918.2,246137.8,249357.4,252577,255796.6,259016.2,262235.8,265455.4,Chandler,AZ,255986,494,332,162
81,82,Laredo,Webb,Laredo_Texas,Texas,264703,236859,0.1176,967,274,95.5,3.5,0.3,0.1,0.5,0,16316,31.5,5.7,27844,2784.4,239643.4,242427.8,245212.2,247996.6,250781,253565.4,256349.8,259134.2,261918.6,,,,,,
82,83,Madison,Dane,Madison_Wisconsin,Wisconsin,264030,233716,0.1297,1285,205,6.3,80.2,5,0.2,5.6,0,37193,12.4,3.8,30314,3031.4,236747.4,239778.8,242810.2,245841.6,248873,251904.4,254935.8,257967.2,260998.6,Madison,WI,258455,595,482,113
83,84,Scottsdale,Maricopa,Scottsdale_Arizona,Arizona,262222,217615,0.205,550,477,30.6,56.3,5.1,1.5,3.9,0.2,30186,15.7,6,44607,4460.7,222075.7,226536.4,230997.1,235457.8,239918.5,244379.2,248839.9,253300.6,257761.3,Scottsdale,AZ,254961,608,381,227
84,85,Lubbock,Lubbock,Lubbock_Texas,Texas,260823,230796,0.1301,747,349,34.5,54.5,6.9,0.4,2.1,0.1,26196,18.8,4.8,30027,3002.7,233798.7,236801.4,239804.1,242806.8,245809.5,248812.2,251814.9,254817.6,257820.3,Lubbock,TX,257372,534,432,102
85,86,Reno,Washoe,Reno_Nevada,Nevada,260258,225750,0.1529,924,282,23.9,63.7,2.1,1.3,5.2,0.6,31879,13.3,6.8,34508,3450.8,229200.8,232651.6,236102.4,239553.2,243004,246454.8,249905.6,253356.4,256807.2,Reno,NV,252341,386,320,66
86,87,Gilbert,Maricopa,Gilbert_Arizona,Arizona,258935,209435,0.2364,1460,177,30.6,56.3,5.1,1.5,3.9,0.2,30186,15.7,6,49500,4950,214385,219335,224285,229235,234185,239135,244085,249035,253985,Gilbert,AZ,247463,386,232,154
87,88,Buffalo,Erie,Buffalo_New York,New York,255244,261301,-0.0232,2441,105,5.2,76,13,0.4,3.4,0,31083,14.9,5.5,-6057,-605.7,260695.3,260089.6,259483.9,258878.2,258272.5,257666.8,257061.1,256455.4,255849.7,Buffalo,NY,258219,973,784,189
88,89,Glendale,Maricopa,Glendale_Arizona,Arizona,254500,226168,0.1253,1595,160,30.6,56.3,5.1,1.5,3.9,0.2,30186,15.7,6,28332,2833.2,229001.2,231834.4,234667.6,237500.8,240334,243167.2,246000.4,248833.6,251666.8,Glendale,AZ,249799,561,426,135
89,90,North Las Vegas,Clark,North Las Vegas_Nevada,Nevada,253923,216843,0.171,1000,254,30.7,44.1,10.8,0.4,9.5,0.7,27719,14.6,8.3,37080,3708,220551,224259,227967,231675,235383,239091,242799,246507,250215,North Las Vegas,NV,246951,420,296,124
90,91,Winston-Salem,Forsyth,Winston-Salem_North Carolina,North Carolina,251762,230033,0.0945,733,343,12.6,57.3,25.7,0.2,2.2,0.1,28640,18.7,6.9,21729,2172.9,232205.9,234378.8,236551.7,238724.6,240897.5,243070.4,245243.3,247416.2,249589.1,Winston-Salem,NC,246759,686,502,184
91,92,Chesapeake,Chesapeake,Chesapeake_Virginia,Virginia,248106,223550,0.1098,283,877,5.6,58.4,29.2,0.2,3.2,0.1,32123,9.6,5.8,24556,2455.6,226005.6,228461.2,230916.8,233372.4,235828,238283.6,240739.2,243194.8,245650.4,Chesapeake,VA,242310,519,373,146
92,93,Garland,Dallas,Garland_Texas,Texas,246627,227355,0.0848,1669,148,39.6,30.2,22.1,0.2,6,0,29810,17.7,5.9,19272,1927.2,229282.2,231209.4,233136.6,235063.8,236991,238918.2,240845.4,242772.6,244699.8,Garland,TX,239577,471,344,127
